"project"," year"," totaltickets"," opentickets"," gcstars"," totalrepowrites"
29,2008,0,0,8,23
31,2008,0,0,44,6
35,2008,0,1,229,33
36,2008,0,0,137,152
42,2008,29,29,1640,201
43,2008,34,34,1036,149
47,2008,2,2,55,5
48,2008,0,0,2,16
52,2008,0,0,19,203
