 ticket_id, title
2327,Bunny master tests fail on Rubinius
2303,Issue with failing DNS lookups
2290,Different behavior for UnboundMethod than in MRI 1.9
2243,"[rails] (ArgumentError) ""comparison of #<Enumerable::SortedElement:0xcf8ec..failed (6)"
2241,Date._parse has different arity than 1.9.3
2219,Benchmarking bm_loop_whileloop.rb failed on i386 with Error::EDOM
2200,Support accessing Fiber-locals and backtraces for a Fiber
2182,Hover state on long titles on blog looks busted
2166,IO performance
2155,FFI-Inline gem fails rspec
2123,Cannot attach LLVM via FFI
2121,Ensure the tests for these FFI projects pass on Rubinius
2102,Crash after Guard test run
2087,Possible Regexp issue with Oniguruma in 1.8 language mode
2081," IO::InternalBuffer#fill_from crash when tab completing in ""xiki"" gem console"
2078,Extend FFI::Platform::POSIX with faster native IO methods
2077,Cleanup Array and add Reflector
2044,eventmachine fork test failure with rubinius
2026,Scoping on $_ var is wrong
2006,Ensure the tests for these C-exts pass on Rubinius
1991,Rails usage of jit_stub primitives
1976,Group permissions
1941,next inside of an ensure block crashes compiler
1867,Missing concurrency primitives
1851,Pure Rubinius C++ API
1738,Trailing hash support in IO.popen
1644,Rubinius::EncodingClass::Encoding::CompatibilityError
1547,"In irb, variable is not created if it's defined in code that never runs"
1481,#readlines significantly slower than MRI
1099,Embed API
1043,Static and shared libraries for rubinius
985,CSV is much slower than MRI
965,much slower Nokogiri iteration
629,"Debugger ""next"" doesn't catch exception rescue's sometimes"
575,"Be able to get/set the return value of a method at a ""safe"" location such as a RET instruction."
151,Lifecycle conditions are disabled on restart
150,Create Root_CA_Resistrant_License
149,unicorn_rails start command exited with non-zero code = 10
144,statsd_contact
142,[fix #129] Fix register/de-register bug when process is restarted out-of-band.
141,Explicitly exit from forked process to force file descriptors to be flushed
140,Specify syslog server for remote logging
135,Email notifications are missing information.
132,Prevent from starts two processes
130,Added support for IRC notifications
129,god doesn't seem to properly de-register process_exit monitoring
128,Duplicate processes starting
127,clean_pid_file behavior seems too naive
126,God and Ruby 2.0.0
124,WARN: technical_worker start command exited with non-zero code = 1
123,Support for additional groups and basic expectations in sockets
121,god thinks its really THE GOD and kills non-monitored process mongod at times
120,Small change to campfire contact to allow the use of a proxy to get to outside world
119,something is wrong on the website?
118,God::EventHandler.start will not called unless initial config file
117,Not stop and restart Unicorn
116,"Enable multiple gods on one system, run by non-root users."
115,"God gets stuck in ""start"" state and never restarts process"
114,"w.keepalive(:socket_responding => ""tcp:12345"") ignored?"
113,Process Dependencies?
112,Adds an upstart init script
110,Watch#keepalive insists on using EventHandler when it is not operational
108,God reports incorrect up status when it fails to fork
107,Debugging custom conditions is incredibly hard
105,Would like to add a shell return conditional which would be nice
104,Manually changing working directory causes god to lose track of PID
103,"When caught USR1,  reopen log file if defined."
102,Multiple groups support
99,Missing event system in Ubuntu linux?
96,Your core language patches break ActiveSupport
93,Suggestion: Rename `stop` command to `smite`
91,"Can not stop after one ""stop start"" cycle "
90,Conditions for child processes
89,Missing proc_exit event
87,Corrected Typo in god.asciidoc L#587
85,Documentation wrong for email notifications per smtp
83,Duplicate PIDs in .god/pids
81,Segmentation fault with Ruby Enterprise Edition 2011.12
80,SSL support for SMTP notifications
77,Added Twilio Contact
69,segfault with Ruby 1.9.3-p0 and Ubuntu 10.04
66,Unhandled exception (StandardError): No buffer space available
61,sugar.rb causes 5.kilobytes and 5.bytes to return the same value
60,Stuck on init
51,God appears to be leaving old god processes around indefinitely
49,Beefed up Complex test method
33,documentation problem for server_auth email configuration option
30,Including child processes in CPU/memory usage
27,God occasionally does not realise that a process has died and reports 0kb memory usage in log
26,Setting working directory not working with Ruby 1.9.2 ?
21,Increment/decrement processes
14,disk_usage doesn't work (Ubuntu 10.4)
12,log feature undocumented
11,God notifications don't work properly using TLS and gmail hosted domains
9,"Race condition makes ""god terminate"" intermittently fail"
7,Multiple Processes/PIDs per Watch
6,Ruby 1.9.1 and god
5,"""god check"" failure"
4,God segfaults on new RE with thread patches
2,Twitter gem has changed
1,The server is not available (or you do not have permissions to access it)
32,Password validation on all attribute updates
31,consuming plugin's authentication data in other languages (java)
30,Cleaned up a bunch of markdown formatting in README
29,Rake deprecation warning for Rails 2.3.10
28,Make the README actually markdown
27,Not on rubygems.org
26,Removed duplicate recently_activated? action
24,Could not find generator authenticated
23,Date formatting problem
22,Support Rails' standard plugin installation mechanism.
21,logout does not invalidate sessions when using ActiveRecord::SessionStore
20,Support for .cat TLD domains
19,recently_activated missing question mark (?) in generator
17,NoMethodError when session kept in cookie is recovered
16,Validation with Authentication.email_regex fails on some RFC5322-valid addresses
15,Forceful Migrations
14,Default redirect for 'SessionsController#create' template is hard coded
13,password validation in model should override that set in plugin
11,Incompatible with Rails 3 bundler
10,display welcome message with username after login
9,SecurityError
8,removed installation instructions as submodule
7,Cucumber issues
6,Move to Gemcutter?
5,remember_me will never work?
4,Master branch broken create user method
3,missed issue in documentation
2,database session store
1,note_failed_signin unescaped string
48,Error when attempting to install attachment_fu using bundler
47,Depracation Fix
46,Please pull fix for rails 1.2.6
44,test do not run without being inside a rails project
42,keep aspect ratio on resize option
39,In my production machine thumbnils arte not getting created
38,Kernel#returning => Object#tap
34,TypeError (can't convert nil into Integer): 
32,Server Setting Missing In Config File
31,Solved Rails 3.0.3 temp_file size problem. Maybe this needs a more solid fix
30,Rails3 and attachment_fu
29,Word 2010 view
28,Validating image dimensions before save
27,Core Image Processor causes segmentation faults on OS X 10.6.x - 64bit.
26,"remove ""returning"" to avoid rails 2.3.9 deprecation warnings"
25,attachment_fu + ruby 1.9.1
23,S3/Cloud Creates wrong public path when using separate thumbnail class
22,Switching between different machines 
20,batch import does not create thumbnails and does not take into account MetaModel attachment options
18,"displaying pdf attachment inline, in the view (problem with browsers on Windows) "
17,Rails 3
15,bug in ImageScience when it processes .gifs
14,"in Windows, uploading to Amazon S3 and Rackspace Cloud Files fails"
13,Uploaded files end up in wrong place
12,public_filename does not return relative path
11,Mongrel_rails prefix
10,attachement_fu and rails 3.0
9,No such file to load -- ftools
7,Datamapper support?
6,Size restrictions are not properly applied to separate thumbnail class.
5,GD2 problem
4,Tempfiles in tmp/attachment_fu are not proactively deleted
3,"Files not properly ""required"", ""0"
1,validates_as_attachment does not allow for custom error messages
2,Fix for issue #1
1,log directory should be created if needed
204,how to resolve this error?
198,chroot support for thin
197,Add Upstart support to thin init script
195,Why after 'thin install' incorrect thin path?
192,Empty response by giving body in Array whose total length is as large as 2GB
184,thin install - systemD support
183,Thin does not correctly handle output to a pipe
180,Bundle Exec Thin Start Dies with Spaces in File Path on Windows
172,Thin not using group permisions correctly
171,Fix condition for String#encode!
170,Fixes problem with connections requests keep-alive and thin
169,Limit of only 6 concurrent connections open per client?
167,Thin 2
161,Too many open files when running with SSL enabled.
151,Non-standard Keep-alive behavior
142,Thin 1.5 can't run as another user/group
140,--all should ignore files not matching *.yml
138,Make log and pid files group writable
128,HUP does not function properly unless thin is running as a daemon
123,Non-Rack embeddable http-server connection
112,Failing test: it 'should force kill process in pid file'
101,"Create a ""status"" command"
93,Thin returns 0 even when not started all instances
87,Explicit or implicit support for `bundle exec`
85,License
78,about rack protocol version 
76,[patch] commint 55c024c2 breaks unittests
75,Starting w/ sudo on ports >1024 fails to bind w/ -u option.
61,Unable to schedule jobs reliably in rails initializer
40,Thin is not supporting pipelining?
34,Empty pid file wound't let thin run
33,Thin does not handle duplicate Header names.
21,Thin not returning an exit code of 1 when a rails app fails to start up as a daemon.
20,thin limits which response headers may be repeated
17,Change to rack from rails renders prefix useless
15,problem with send_data
11,/etc/init.d/thin stop always fails
8,When using request absolute URI Thin leaves PATH_INFO empty
12,Fix Kernel::returning deprecation messages
11,Minor (but important!) readme fix
10,Changes to suppress Rails3 warning
9,Don't set flash for Ajax requests
8,uninitialized constant ResourceController
7,R_C and MimeType::register_alias aliased mime types?
6,Feature Request: Custom actions
5,application_controller / application dependency check issue
3,rescue_from not working
2,allow scoping finds and creates by non parent
1,Conflict with tiny_mce plugin
1,Use better default validation msg for enum
6,How can i refresh cache right now?
5,cache_fu's config is conflict to config in rails3
4,Tests don't pass
3,tests fail/ Rails site fails
2,"avoid overriding the ""cache_key"" method for ActiveRecord::Base children"
1,Action caching broken
110,Backtick problematic (simple fix)
109,Any way to delete a tag?
108,Maintenance status
107,added support for --mirror option on clone command
106,Fix: Git::Base is_remote_branch?
105,How do I check for a simple diff?
104,git.tag on specific SHA?
103,implicit cast breaks RBX 
102,diff before merge?
101,Basic Rebase
100,Added the ability to update bare repos using fetch
99,Handle commits with empty lines in the message
98,Make tests defensive against timezones
97,Add `cherry` support to Git::Log
95,Bug on  `def escape(s)` on lib/git/lib.rb
93,Implement Git::Log#follow
92,possible memory leak when calling status
91,"`Git.init ""a.git"
90,No way to update bare repositories from remote repository
89,make Lib class work with git submodules
86,Adding git rebase command.
84,Pass options through to command.
83,Handle commits with newlines in the message.
82,Feature request: Support option `--follow` for logging
81,Support Submodules
79,get first commit from git log?
