project_id, uri, type, filesize, information, downloadcount
"6310", "https://api.github.com/repos/adamhjk/iclassify/downloads/944", "image/png", "13312", "screenshots", "63"
"6310", "https://api.github.com/repos/adamhjk/iclassify/downloads/943", "image/png", "72704", "screenshots", "43"
"6310", "https://api.github.com/repos/adamhjk/iclassify/downloads/942", "image/png", "14336", "screenshots", "40"
"6310", "https://api.github.com/repos/adamhjk/iclassify/downloads/941", "image/png", "55296", "screenshots", "35"
"6310", "https://api.github.com/repos/adamhjk/iclassify/downloads/940", "image/png", "53248", "screenshots", "39"
"6310", "https://api.github.com/repos/adamhjk/iclassify/downloads/939", "image/png", "49152", "screenshots", "36"
"6310", "https://api.github.com/repos/adamhjk/iclassify/downloads/938", "image/png", "51200", "screenshots", "40"
"6310", "https://api.github.com/repos/adamhjk/iclassify/downloads/937", "image/png", "159744", "screenshots", "40"
"6310", "https://api.github.com/repos/adamhjk/iclassify/downloads/936", "image/png", "9216", "screenshots", "41"
"6701", "https://api.github.com/repos/jochu/swank-clojure/downloads/10498", "null", "402432", "", "12"
"6701", "https://api.github.com/repos/jochu/swank-clojure/downloads/10497", "null", "405504", "", "25"
"6701", "https://api.github.com/repos/jochu/swank-clojure/downloads/10496", "application/zip", "405504", "", "37"
"7103", "https://api.github.com/repos/jmckible/mckible-com/downloads/38309", "application/octet-stream", "0", "", "0"
"7112", "https://api.github.com/repos/unpush/p2-php/downloads/12778", "image/png", "10240", "", "49"
"7112", "https://api.github.com/repos/unpush/p2-php/downloads/10577", "application/zip", "1436672", "", "98"
"7112", "https://api.github.com/repos/unpush/p2-php/downloads/10541", "image/png", "169984", "", "34"
"7112", "https://api.github.com/repos/unpush/p2-php/downloads/7178", "image/png", "22528", "", "34"
"7112", "https://api.github.com/repos/unpush/p2-php/downloads/7177", "image/jpeg", "161792", "", "34"
"7112", "https://api.github.com/repos/unpush/p2-php/downloads/6622", "null", "14336", "", "63"
"7112", "https://api.github.com/repos/unpush/p2-php/downloads/6547", "null", "6144", "", "61"
"7112", "https://api.github.com/repos/unpush/p2-php/downloads/6273", "image/png", "143360", "", "35"
"7112", "https://api.github.com/repos/unpush/p2-php/downloads/5466", "image/png", "165888", "res color", "35"
"7222", "https://api.github.com/repos/djtal/ludomanager/downloads/186778", ".pdf", "6609920", "", "0"
"7222", "https://api.github.com/repos/djtal/ludomanager/downloads/186777", ".pdf", "22773760", "", "19"
"7456", "https://api.github.com/repos/dustin/photoupload/downloads/77877", "application/zip", "912384", "Pre-release photo-couch based uploader.", "4"
"8045", "https://api.github.com/repos/kana/config/downloads/81628", "application/octet-stream", "387072", "fatpack", "16"
"9111", "https://api.github.com/repos/conanite/rainbow/downloads/3534", "application/zip", "2829312", "arc distribution for use with rainbow (experimental)", "23"
"10376", "https://api.github.com/repos/trms/monitor_control/downloads/17440", "application/octet-stream", "7093248", "Monitor Control 1.1.0.23 Installer", "6"
"10379", "https://api.github.com/repos/bert/pcb-fpw/downloads/83946", ".spec", "4096", "pcb-fpw-0.0.11-0.spec", "23"
"10379", "https://api.github.com/repos/bert/pcb-fpw/downloads/83942", ".rpm", "667648", "pcb-fpw-0.0.11-0.fc13.i686.rpm", "7"
"10379", "https://api.github.com/repos/bert/pcb-fpw/downloads/83941", ".rpm", "991232", "pcb-fpw-0.0.11-0.fc13.src.rpm", "8"
"10393", "https://api.github.com/repos/trms/dvd_import/downloads/76903", "application/octet-stream", "5249024", "DVD Import 5.0.2 Installer", "940"
"10393", "https://api.github.com/repos/trms/dvd_import/downloads/17439", "application/octet-stream", "5395456", "DVD Import 5.1.0.21 Installer", "123"
"10425", "https://api.github.com/repos/trms/fixmpeg/downloads/118809", "application/octet-stream", "10812416", "Forces Interlacing", "617"
"10425", "https://api.github.com/repos/trms/fixmpeg/downloads/117539", "application/octet-stream", "7710720", "Added Force encode checkbox", "12"
"10731", "https://api.github.com/repos/fesplugas/typus/downloads/209290", "image/png", "97280", "", "21"
"12274", "https://api.github.com/repos/jasonroelofs/gccxml_gem/downloads/42733", "application/octet-stream", "25600", "Requested files for fixing MMX headers via gccxml", "9"
"12530", "https://api.github.com/repos/tominsam/shelf/downloads/173076", "application/zip", "7845888", "Shelf-0.0.15.zip", "22"
"12943", "https://api.github.com/repos/dustin/memcached/downloads/8181", "text/html", "30720", "Memcached changelog.", "52"
"12943", "https://api.github.com/repos/dustin/memcached/downloads/775", "text/plain", "61440", "Binary Protocol Specification", "48"
"13083", "https://api.github.com/repos/tclarke/coan/downloads/86627", ".msi", "443392", "", "21"
"13083", "https://api.github.com/repos/tclarke/coan/downloads/86417", ".aeb", "19808256", "OpenCV Python install for Opticks 4.6.x and Python 2.6 (Windows 32-bit, 64-bit and Linux 64-bit)", "109"
"13083", "https://api.github.com/repos/tclarke/coan/downloads/66274", ".aeb", "21706752", "", "139"
"13083", "https://api.github.com/repos/tclarke/coan/downloads/65074", ".aeb", "10078208", "OpenCV bindings for Opticks 4.4.x and 4.5.x with Python 2.6.", "100"
"13083", "https://api.github.com/repos/tclarke/coan/downloads/4994", "null", "177152", "Video timeline 1.0b for Opticks 4.3.* Win32/Win64", "24"
"13083", "https://api.github.com/repos/tclarke/coan/downloads/4993", "null", "1136640", "", "39"
"13484", "https://api.github.com/repos/madrobby/scripty2/downloads/55723", "application/octet-stream", "589824", "scripty2 2.0.0 beta 1", "90"
"13677", "https://api.github.com/repos/weavejester/compojure/downloads/3127", "application/zip", "5516288", "Dependencies for Compojure", "395"
"13960", "https://api.github.com/repos/mislav/hanna/downloads/889", "image/png", "297984", "Screenshot of documentation rendered with Hanna", "38"
"14441", "https://api.github.com/repos/youpy/directory-index-finder/downloads/92923", "application/octet-stream", "2048", "", "81"
"15784", "https://api.github.com/repos/potionfactory/potionstore/downloads/9223", "null", "3687424", "Potion Store 0.5.0", "64"
"15984", "https://api.github.com/repos/psychs/inputswitcher/downloads/25376", "", "220160", "", "1889"
"16309", "https://api.github.com/repos/ledger/ledger/downloads/64455", "audio/pn-realaudio-plugin", "2273280", "Ledger-rpm-package for Mandriva Linux Spring 2010", "18"
"16309", "https://api.github.com/repos/ledger/ledger/downloads/40882", "application/octet-stream", "660480", "Release 2.6.3", "1878"
"16309", "https://api.github.com/repos/ledger/ledger/downloads/4928", "null", "655360", "Release 2.6.2", "268"
"16309", "https://api.github.com/repos/ledger/ledger/downloads/245", "null", "536576", "Release 2.6.1 binaries for Debian i386", "65"
"16309", "https://api.github.com/repos/ledger/ledger/downloads/244", "null", "541696", "Release 2.6.1 binaries for Debian AMD64", "24"
"16309", "https://api.github.com/repos/ledger/ledger/downloads/243", "application/zip", "2606080", "Release 2.6.1 binaries for Windows", "191"
"16309", "https://api.github.com/repos/ledger/ledger/downloads/21", "application/pdf", "283648", "The current manual in PDF format", "6209"
"16309", "https://api.github.com/repos/ledger/ledger/downloads/20", "null", "657408", "Release 2.6.1", "57"
"16819", "https://api.github.com/repos/adamhjk/mongrel_runit/downloads/935", "application/x-tar", "76800", "Tarball of latest release", "10"
"16819", "https://api.github.com/repos/adamhjk/mongrel_runit/downloads/934", "application/x-tar", "78848", "Rubygem of latest release", "28"
"17986", "https://api.github.com/repos/fabien/im_magick/downloads/13785", "null", "233472", "", "55"
"18367", "https://api.github.com/repos/bsag/tracks-old/downloads/41685", "application/octet-stream", "167936", "Tracks Manual", "229"
"18834", "https://api.github.com/repos/trondn/memcached/downloads/339499", "application/gzip", "1394688", "Do not use - personal testing only", "6"
"18861", "https://api.github.com/repos/hotchpotch/test_hotchpotch/downloads/9112", "application/x-javascript", "0", "", "4"
"18861", "https://api.github.com/repos/hotchpotch/test_hotchpotch/downloads/9111", "null", "0", "", "40"
"19253", "https://api.github.com/repos/evanfarrar/opensprints/downloads/12173", "application/zip", "4096", "current version of Arduino firmware app", "9"
"19391", "https://api.github.com/repos/lukebayes/project-sprouts/downloads/31528", "", "0", "Remote file used by the RemoteFileTarget integration test", "79"
"19402", "https://api.github.com/repos/lutzky/ttime/downloads/296545", "application/debian-package", "66560", "TTime 0.9.4-2 (debian/ubuntu)", "633"
"19402", "https://api.github.com/repos/lutzky/ttime/downloads/82308", ".deb", "65536", "TTime 0.9.4-1 (debian/ubuntu)", "989"
"19402", "https://api.github.com/repos/lutzky/ttime/downloads/72176", ".deb", "65536", "TTime 0.9.3-2 (debian/ubuntu)", "182"
"19402", "https://api.github.com/repos/lutzky/ttime/downloads/45418", "application/octet-stream", "65536", "TTime 0.9.3-1 (debian/ubuntu)", "406"
"19402", "https://api.github.com/repos/lutzky/ttime/downloads/45372", "application/octet-stream", "52224", "TTime for Debian or Ubuntu 0.9.2-1", "15"
"19438", "https://api.github.com/repos/hadley/ggplot2/downloads/198266", "application/pdf", "1103872", "ggplot2 0.9 transition guide", "1879"
"19701", "https://api.github.com/repos/modulargaming/kittokittokitto/downloads/12423", "null", "2328576", "Modular Gaming 0.3.1", "15"
"20461", "https://api.github.com/repos/jlong/popupjs/downloads/89431", "image/png", "21504", "", "11013"
"20724", "https://api.github.com/repos/andreasronge/neo4j/downloads/50661", "application/octet-stream", "80896", "whiteboard.png", "4248"
"21007", "https://api.github.com/repos/jlong/serve/downloads/107422", "PNGf", "47104", "", "12125"
"21007", "https://api.github.com/repos/jlong/serve/downloads/85631", "PiNG", "47104", "", "4047"
"21171", "https://api.github.com/repos/jmalonzo/pywebkitgtk/downloads/44429", "application/octet-stream", "342016", "", "16"
"21171", "https://api.github.com/repos/jmalonzo/pywebkitgtk/downloads/44428", "application/octet-stream", "276480", "", "8"
